Nb_Feuille; Nb_Scan;Threshold;Nb_Particle;Ind;Nb_ech;Organe;Place;Area;Length
F1;1;196;1;PIS14;1;petale;2;0,219;NA
F1;1;196;2;PIS14;1;petale;5;0,241;NA
F1;1;196;3;PIS14;1;pistile;1;0,044;0,859
F1;1;196;4;PIS14;1;petale;3;0,254;NA
F1;1;196;5;PIS14;1;petale;1;0,188;NA
F1;1;196;6;PIS14;1;petale;4;0,199;NA
F1;1;196;7;PIS14;1;sepale;4;0,081;NA
F1;1;196;8;PIS14;1;etamine;4;0,067;NA
F1;1;196;10;PIS14;1;etamine;5;0,064;NA
F1;1;196;11;PIS14;1;sepale;3;0,062;NA
F1;1;196;12;PIS14;1;sepale;1;0,086;NA
F1;1;196;13;PIS14;1;etamine;3;0,062;NA
F1;1;196;14;PIS14;1;sepale;5;0,092;NA
F1;1;196;15;PIS14;1;etamine;1;0,068;NA
F1;1;196;17;PIS14;1;etamine;2;0,062;NA
F1;1;196;18;PIS14;1;sepale;2;0,048;NA
F1;1;196;20;PIS14;2;pistile;1;0,035;0,956
F1;1;196;21;PIS14;2;petale;5;0,388;NA
F1;1;196;22;PIS14;2;etamine;5;0,077;NA
F1;1;196;23;PIS14;2;etamine;4;0,075;NA
F1;1;196;24;PIS14;2;sepale;1;0,069;NA
F1;1;196;25;PIS14;2;etamine;3;0,068;NA
F1;1;196;26;PIS14;2;petale;4;0,525;NA
F1;1;196;27;PIS14;2;sepale;3;0,067;NA
F1;1;196;28;PIS14;2;etamine;2;0,067;NA
F1;1;196;29;PIS14;2;sepale;2;0,066;NA
F1;1;196;30;PIS14;2;sepale;5;0,057;NA
F1;1;196;31;PIS14;2;petale;3;0,354;NA
F1;1;196;32;PIS14;2;petale;1;0,427;NA
F1;1;196;34;PIS14;2;sepale;4;0,056;NA
F1;1;196;35;PIS14;2;etamine;1;0,07;NA
F1;1;196;37;PIS14;2;petale;2;0,347;NA
F1;1;196;40;PIS14;3;etamine;4;0,072;NA
F1;1;196;41;PIS14;3;etamine;5;0,077;NA
F1;1;196;42;PIS14;3;pistile;1;0,032;0,889
F1;1;196;43;PIS14;3;etamine;1;0,074;NA
F1;1;196;44;PIS14;3;etamine;3;0,078;NA
F1;1;196;45;PIS14;3;etamine;2;0,077;NA
F1;1;196;46;PIS14;3;petale;3;0,264;NA
F1;1;196;47;PIS14;3;petale;4;0,311;NA
F1;1;196;48;PIS14;3;petale;5;0,188;NA
F1;1;196;49;PIS14;3;petale;2;0,218;NA
F1;1;196;51;PIS14;3;petale;1;0,288;NA
F1;1;196;53;PIS14;3;sepale;1;0,061;NA
F1;1;196;54;PIS14;3;sepale;5;0,057;NA
F1;1;196;55;PIS14;3;sepale;2;0,053;NA
F1;1;196;56;PIS14;3;sepale;3;0,06;NA
F1;1;196;57;PIS14;3;sepale;4;0,061;NA
F1;1;196;59;PIS14;4;pistile;1;0,04;0,876
F1;1;196;60;PIS14;4;etamine;5;0,075;NA
F1;1;196;61;PIS14;4;petale;3;0,29;NA
F1;1;196;62;PIS14;4;petale;5;0,287;NA
F1;1;196;63;PIS14;4;petale;2;0,403;NA
F1;1;196;64;PIS14;4;etamine;2;0,071;NA
F1;1;196;65;PIS14;4;sepale;2;0,056;NA
F1;1;196;66;PIS14;4;etamine;1;0,074;NA
F1;1;196;67;PIS14;4;etamine;4;0,071;NA
F1;1;196;68;PIS14;4;petale;1;0,418;NA
F1;1;196;69;PIS14;4;sepale;1;0,051;NA
F1;1;196;70;PIS14;4;sepale;3;0,076;NA
F1;1;196;71;PIS14;4;etamine;3;0,067;NA
F1;1;196;73;PIS14;4;petale;4;0,323;NA
F1;1;196;74;PIS14;4;sepale;4;0,06;NA
F1;1;196;75;PIS14;4;sepale;5;0,054;NA
F1;1;196;78;PIS14;5;pistile;1;0,035;0,898
F1;1;196;79;PIS14;5;petale;2;0,324;NA
F1;1;196;80;PIS14;5;petale;3;0,343;NA
F1;1;196;82;PIS14;5;petale;5;0,361;NA
F1;1;196;83;PIS14;5;petale;1;0,312;NA
F1;1;196;84;PIS14;5;petale;4;0,356;NA
F1;1;196;85;PIS14;5;etamine;5;0,079;NA
F1;1;196;86;PIS14;5;etamine;2;0,063;NA
F1;1;196;87;PIS14;5;etamine;3;0,063;NA
F1;1;196;88;PIS14;5;etamine;1;0,07;NA
F1;1;196;89;PIS14;5;etamine;4;0,056;NA
F1;1;196;90;PIS14;5;sepale;4;0,055;NA
F1;1;196;91;PIS14;5;sepale;3;0,048;NA
F1;1;196;92;PIS14;5;sepale;5;0,066;NA
F1;1;196;93;PIS14;5;sepale;1;0,051;NA
F1;1;196;94;PIS14;5;sepale;2;0,047;NA
F1;1;196;101;PIS14;6;corolle;1;2,157;NA
F1;1;196;103;PIS14;6;pistile;1;0,036;0,931
F1;1;196;104;PIS14;6;etamine;5;0,077;0,731
F1;1;196;105;PIS14;6;etamine;2;0,076;0,62
F1;1;196;106;PIS14;6;etamine;1;0,071;0,638
F1;1;196;107;PIS14;6;etamine;4;0,075;0,734
F1;1;196;108;PIS14;6;etamine;3;0,077;0,7
F1;1;196;109;PIS14;6;sepale;5;0,055;NA
F1;1;196;110;PIS14;6;sepale;1;0,058;NA
F1;1;196;111;PIS14;6;sepale;3;0,063;NA
F1;1;196;112;PIS14;6;sepale;4;0,052;NA
F1;1;196;113;PIS14;6;sepale;2;0,061;NA
F1;1;196;9;Rien;NA;NA;NA;0,002;NA
F1;1;196;16;Rien;NA;NA;NA;0,018;NA
F1;1;196;19;Rien;NA;NA;NA;0,0002922;NA
F1;1;196;33;Rien;NA;NA;NA;0,007;NA
F1;1;196;36;Rien;NA;NA;NA;0,011;NA
F1;1;196;38;Rien;NA;NA;NA;0,0002922;NA
F1;1;196;39;Rien;NA;NA;NA;0,0002922;NA
F1;1;196;50;Rien;NA;NA;NA;0,023;NA
F1;1;196;52;Rien;NA;NA;NA;0,0002922;NA
F1;1;196;58;Rien;NA;NA;NA;0,001;NA
F1;1;196;72;Rien;NA;NA;NA;0,023;NA
F1;1;196;76;Rien;NA;NA;NA;0,0002922;NA
F1;1;196;77;Rien;NA;NA;NA;0,0002922;NA
F1;1;196;81;Rien;NA;NA;NA;0,0005844;NA
F1;1;196;95;Rien;NA;NA;NA;0,0005844;NA
F1;1;196;96;Rien;NA;NA;NA;0,0002922;NA
F1;1;196;97;Rien;NA;NA;NA;0,0008766;NA
F1;1;196;98;Rien;NA;NA;NA;0,0002922;NA
F1;1;196;99;Rien;NA;NA;NA;0,0002922;NA
F1;1;196;100;Rien;NA;NA;NA;0,001;NA
F1;1;196;102;Rien;NA;NA;NA;0,0005844;NA
F1;2;213;1;PIS40;1;etamine;2;0,067;0,693
F1;2;213;3;PIS40;1;etamine;3;0,07;0,704
F1;2;213;5;PIS40;1;corolle;1;0,842;NA
F1;2;213;6;PIS40;1;etamine;1;0,06;0,64
F1;2;213;7;PIS40;1;etamine;5;0,078;0,632
F1;2;213;8;PIS40;1;pistile;1;0,036;0,733
F1;2;213;9;PIS40;1;etamine;4;0,073;0,797
F1;2;213;10;PIS40;1;sepale;1;0,053;NA
F1;2;213;11;PIS40;1;sepale;2;0,061;NA
F1;2;213;12;PIS40;1;sepale;4;0,042;NA
F1;2;213;13;PIS40;1;sepale;3;0,032;NA
F1;2;213;14;PIS40;1;sepale;5;0,055;NA
F1;2;213;15;PIS40;2;corolle;1;0,846;NA
F1;2;213;16;PIS40;2;etamine;2;0,064;0,711
F1;2;213;17;PIS40;2;etamine;1;0,076;0,759
F1;2;213;18;PIS40;2;etamine;3;0,08;0,77
F1;2;213;18;PIS40;2;etamine;4;0,08;0,672
F1;2;213;19;PIS40;2;etamine;5;0,079;0,746
F1;2;213;20;PIS40;2;pistile;1;0,032;0,785
F1;2;213;21;PIS40;2;sepale;3;0,048;NA
F1;2;213;22;PIS40;2;sepale;4;0,049;NA
F1;2;213;23;PIS40;2;sepale;1;0,054;NA
F1;2;213;24;PIS40;2;sepale;2;0,038;NA
F1;2;213;25;PIS40;2;sepale;5;0,055;NA
F1;2;213;2;Rien;NA;NA;NA;0,0002922;NA
F1;2;213;4;Rien;NA;NA;NA;0,0002922;NA
F1;2;213;26;Rien;NA;NA;NA;0,0002922;NA
F2;3;213;13;Rien;NA;NA;NA;0,005;NA
F2;3;213;14;Rien;NA;NA;NA;0,0002778;NA
F2;3;213;15;Rien;NA;NA;NA;0,0002778;NA
F2;3;213;16;Rien;NA;NA;NA;0,0002778;NA
F2;3;213;27;Rien;NA;NA;NA;0,0005556;NA
F2;3;213;29;Rien;NA;NA;NA;0,0005556;NA
F2;3;213;31;Rien;NA;NA;NA;0,0002778;NA
F2;3;213;44;Rien;NA;NA;NA;0,012;NA
F2;3;213;45;Rien;NA;NA;NA;0,0002778;NA
F2;3;213;1;SC2;1;corolle;1;1,307;NA
F2;3;213;2;SC2;1;pistile;1;0,041;1,057
F2;3;213;3;SC2;1;sepale;4;0,082;NA
F2;3;213;4;SC2;1;etamine;1;0,076;0,769
F2;3;213;5;SC2;1;etamine;4;0,083;0,714
F2;3;213;6;SC2;1;etamine;5;0,084;0,695
F2;3;213;7;SC2;1;etamine;3;0,087;0,699
F2;3;213;8;SC2;1;sepale;5;0,066;NA
F2;3;213;9;SC2;1;sepale;1;0,046;NA
F2;3;213;10;SC2;1;sepale;3;0,059;NA
F2;3;213;11;SC2;1;sepale;2;0,049;NA
F2;3;213;12;SC2;1;etamine;2;0,102;0,703
F2;3;213;17;SC2;2;corolle;1;1,189;NA
F2;3;213;18;SC2;2;etamine;3;0,077;0,902
F2;3;213;19;SC2;2;etamine;4;0,073;0,698
F2;3;213;20;SC2;2;etamine;2;0,077;0,683
F2;3;213;21;SC2;2;sepale;5;0,047;NA
F2;3;213;22;SC2;2;pistile;1;0,036;1,067
F2;3;213;23;SC2;2;sepale;4;0,055;NA
F2;3;213;24;SC2;2;etamine;1;0,074;0,748
F2;3;213;25;SC2;2;etamine;5;0,071;0,676
F2;3;213;26;SC2;2;sepale;2;0,045;NA
F2;3;213;28;SC2;2;sepale;1;0,034;NA
F2;3;213;30;SC2;2;sepale;3;0,044;NA
F2;3;213;32;SC2;3;etamine;1;0,078;0,665
F2;3;213;33;SC2;3;etamine;4;0,081;0,73
F2;3;213;34;SC2;3;pistile;1;0,032;1,057
F2;3;213;35;SC2;3;corolle;1;1,21;NA
F2;3;213;36;SC2;3;etamine;5;0,078;0,7
F2;3;213;37;SC2;3;sepale;5;0,044;NA
F2;3;213;38;SC2;3;etamine;3;0,075;0,754
F2;3;213;39;SC2;3;etamine;2;0,076;0,762
F2;3;213;40;SC2;3;sepale;4;0,061;NA
F2;3;213;41;SC2;3;sepale;1;0,081;NA
F2;3;213;42;SC2;3;sepale;2;0,057;NA
F2;3;213;43;SC2;3;sepale;3;0,049;NA
F3;4;213;3;PIS14;8;corolle;1;2,36;NA
F3;4;213;5;PIS14;8;sepale;5;0,074;NA
F3;4;213;6;PIS14;8;sepale;4;0,067;NA
F3;4;213;7;PIS14;8;sepale;1;0,068;NA
F3;4;213;7;PIS14;8;sepale;2;0,068;NA
F3;4;213;9;PIS14;8;sepale;3;0,058;NA
F3;4;213;12;PIS14;7;sepale;1;0,111;NA
F3;4;213;12;PIS14;7;sepale;2;0,111;NA
F3;4;213;15;PIS14;7;corolle;1;2,708;NA
F3;4;213;16;PIS14;7;sepale;4;0,092;NA
F3;4;213;17;PIS14;7;sepale;5;0,093;NA
F3;4;213;18;PIS14;7;sepale;3;0,078;NA
F3;4;213;20;PIS14;7;pistile;1;0,042;0,893
F3;4;213;22;PIS14;8;pistile;1;0,044;0,856
F3;4;213;23;PIS14;8;etamine;5;0,066;0,694
F3;4;213;24;PIS14;8;etamine;4;0,053;0,663
F3;4;213;25;PIS14;8;etamine;2;0,043;0,683
F3;4;213;26;PIS14;8;etamine;3;0,061;0,64
F3;4;213;27;PIS14;8;etamine;1;0,06;0,676
F3;4;213;28;PIS14;7;etamine;5;0,068;0,609
F3;4;213;29;PIS14;7;etamine;1;0,07;0,617
F3;4;213;30;PIS14;7;etamine;2;0,059;0,694
F3;4;213;31;PIS14;7;etamine;4;0,074;0,736
F3;4;213;32;PIS14;7;etamine;3;0,074;0,56
F3;4;213;1;Rien;NA;NA;NA;0,04;NA
F3;4;213;2;Rien;NA;NA;NA;0,029;NA
F3;4;213;4;Rien;NA;NA;NA;0,036;NA
F3;4;213;8;Rien;NA;NA;NA;0,0006944;NA
F3;4;213;10;Rien;NA;NA;NA;0,017;NA
F3;4;213;11;Rien;NA;NA;NA;0,0003472;NA
F3;4;213;13;Rien;NA;NA;NA;0,0003472;NA
F3;4;213;14;Rien;NA;NA;NA;0,0006944;NA
F3;4;213;19;Rien;NA;NA;NA;0,0006944;NA
F3;4;213;21;Rien;NA;NA;NA;0,149;NA
F3;4;213;33;Rien;NA;NA;NA;0,0003472;NA
F3;5;213;1;PIS19;2;corolle;1;2,253;NA
F3;5;213;2;PIS19;3;sepale;2;0,061;NA
F3;5;213;3;PIS19;2;sepale;3;0,057;NA
F3;5;213;4;PIS19;3;sepale;1;0,058;NA
F3;5;213;5;PIS19;2;sepale;2;0,058;NA
F3;5;213;6;PIS19;2;sepale;4;0,057;NA
F3;5;213;7;PIS19;2;sepale;1;0,051;NA
F3;5;213;8;PIS19;2;sepale;5;0,047;NA
F3;5;213;9;PIS19;3;corolle;1;2,165;NA
F3;5;213;10;PIS19;3;sepale;3;0,06;NA
F3;5;213;11;PIS19;3;sepale;4;0,058;NA
F3;5;213;12;PIS19;3;sepale;5;0,06;NA
F3;5;213;17;PIS19;1;corolle;1;2,606;NA
F3;5;213;19;PIS19;1;sepale;1;0,047;NA
F3;5;213;20;PIS19;1;sepale;2;0,062;NA
F3;5;213;22;PIS19;1;sepale;3;0,062;NA
F3;5;213;24;PIS19;2;etamine;5;0,089;0,665
F3;5;213;25;PIS19;2;pistile;1;0,039;1,027
F3;5;213;26;PIS19;2;etamine;3;0,064;0,691
F3;5;213;27;PIS19;2;etamine;1;0,074;0,706
F3;5;213;28;PIS19;2;etamine;4;0,068;0,699
F3;5;213;29;PIS19;2;etamine;2;0,07;0,753
F3;5;213;33;PIS19;3;etamine;1;0,078;0,742
F3;5;213;35;PIS19;3;etamine;2;0,083;0,718
F3;5;213;36;PIS19;3;etamine;3;0,076;0,732
F3;5;213;37;PIS19;3;pistile;1;0,041;0,848
F3;5;213;38;PIS19;3;etamine;5;0,067;0,702
F3;5;213;39;PIS19;3;etamine;4;0,076;0,72
F3;5;213;40;PIS19;1;pistile;1;0,047;1,164
F3;5;213;41;PIS19;1;etamine;2;0,071;0,76
F3;5;213;42;PIS19;1;etamine;3;0,074;0,736
F3;5;213;43;PIS19;1;etamine;1;0,076;0,622
F3;5;213;44;PIS19;1;etamine;4;0,077;0,649
F3;5;213;45;PIS19;1;etamine;5;0,076;0,692
F3;5;213;48;PIS19;5;corolle;1;2,448;NA
F3;5;213;49;PIS19;5;sepale;4;0,069;NA
F3;5;213;50;PIS19;5;sepale;5;0,067;NA
F3;5;213;51;PIS19;5;sepale;3;0,058;NA
F3;5;213;52;PIS19;5;sepale;2;0,063;NA
F3;5;213;53;PIS19;5;sepale;1;0,05;NA
F3;5;213;56;PIS19;4;sepale;2;0,049;NA
F3;5;213;57;PIS19;4;sepale;1;0,073;NA
F3;5;213;58;PIS19;4;sepale;3;0,048;NA
F3;5;213;59;PIS19;4;sepale;4;0,052;NA
F3;5;213;60;PIS19;4;sepale;5;0,06;NA
F3;5;213;61;PIS19;4;corolle;1;1,765;NA
F3;5;213;63;PIS19;5;pistile;1;0,046;1,026
F3;5;213;64;PIS19;5;etamine;5;0,074;0,693
F3;5;213;65;PIS19;4;pistile;1;0,042;0,954
F3;5;213;67;PIS19;5;etamine;1;0,08;0,683
F3;5;213;68;PIS19;5;etamine;2;0,075;0,639
F3;5;213;69;PIS19;5;etamine;4;0,068;0,652
F3;5;213;70;PIS19;5;etamine;3;0,063;0,695
F3;5;213;72;PIS19;4;etamine;3;0,077;0,697
F3;5;213;73;PIS19;4;etamine;4;0,07;0,728
F3;5;213;74;PIS19;4;etamine;5;0,08;0,679
F3;5;213;75;PIS19;4;etamine;1;0,066;0,784
F3;5;213;76;PIS19;4;etamine;2;0,078;0,851
F3;5;213;13;Rien;NA;NA;NA;0,006;NA
F3;5;213;14;Rien;NA;NA;NA;0,059;NA
F3;5;213;15;Rien;NA;NA;NA;0,023;NA
F3;5;213;16;Rien;NA;NA;NA;0,024;NA
F3;5;213;18;Rien;NA;NA;NA;0,122;NA
F3;5;213;21;Rien;NA;NA;NA;0,001;NA
F3;5;213;23;Rien;NA;NA;NA;0,102;NA
F3;5;213;30;Rien;NA;NA;NA;0,007;NA
F3;5;213;31;Rien;NA;NA;NA;0,002;NA
F3;5;213;32;Rien;NA;NA;NA;0,0003472;NA
F3;5;213;34;Rien;NA;NA;NA;0,002;NA
F3;5;213;46;Rien;NA;NA;NA;0,0006944;NA
F3;5;213;47;Rien;NA;NA;NA;0,007;NA
F3;5;213;54;Rien;NA;NA;NA;0,112;NA
F3;5;213;55;Rien;NA;NA;NA;0,0006944;NA
F3;5;213;62;Rien;NA;NA;NA;0,0006944;NA
F3;5;213;66;Rien;NA;NA;NA;0,0003472;NA
F3;5;213;71;Rien;NA;NA;NA;0,0003472;NA
F3;5;213;77;Rien;NA;NA;NA;0,0003472;NA
F3;5;213;78;Rien;NA;NA;NA;0,0003472;NA
F3;5;213;79;Rien;NA;NA;NA;0,0003472;NA
F3;5;213;80;Rien;NA;NA;NA;0,001;NA
F3;5;213;81;Rien;NA;NA;NA;0,0006944;NA
F3;5;213;82;Rien;NA;NA;NA;0,003;NA
F3;5;213;83;Rien;NA;NA;NA;0,001;NA
F3;5;213;84;Rien;NA;NA;NA;0,0003472;NA
F3;5;213;85;Rien;NA;NA;NA;0,001;NA
F3;5;213;86;Rien;NA;NA;NA;0,0003472;NA
F3;5;213;87;Rien;NA;NA;NA;0,0006944;NA
F3;5;213;88;Rien;NA;NA;NA;0,0006944;NA
F3;5;213;89;Rien;NA;NA;NA;0,0003472;NA
F3;5;213;90;Rien;NA;NA;NA;0,005;NA
F3;5;213;91;Rien;NA;NA;NA;0,0003472;NA
F3;5;213;92;Rien;NA;NA;NA;0,0003472;NA
F3;5;213;93;Rien;NA;NA;NA;0,036;NA
F3;5;213;94;Rien;NA;NA;NA;0,006;NA
F3;5;213;95;Rien;NA;NA;NA;0,0003472;NA
F3;5;213;96;Rien;NA;NA;NA;0,001;NA
F3;5;213;97;Rien;NA;NA;NA;0,0003472;NA
F3;5;213;98;Rien;NA;NA;NA;0,027;NA
F3;5;213;99;Rien;NA;NA;NA;0,001;NA
F3;5;213;100;Rien;NA;NA;NA;0,0003472;NA
F3;5;213;101;Rien;NA;NA;NA;0,003;NA
F3;5;213;102;Rien;NA;NA;NA;0,003;NA
F3;5;213;103;Rien;NA;NA;NA;0,002;NA
F3;5;213;104;Rien;NA;NA;NA;0,0006944;NA
F3;5;213;105;Rien;NA;NA;NA;0,002;NA
F3;5;213;106;Rien;NA;NA;NA;0,0006944;NA
F3;5;213;107;Rien;NA;NA;NA;0,0006944;NA
F3;5;213;108;Rien;NA;NA;NA;0,002;NA
F3;5;213;109;Rien;NA;NA;NA;0,001;NA
F3;5;213;110;Rien;NA;NA;NA;0,0003472;NA
F3;5;213;111;Rien;NA;NA;NA;0,0006944;NA
F3;5;213;112;Rien;NA;NA;NA;0,001;NA
F3;5;213;113;Rien;NA;NA;NA;0,001;NA
F3;5;213;114;Rien;NA;NA;NA;0,0006944;NA
F3;6;213;3;Rien;NA;NA;NA;0,0003472;NA
F3;6;213;8;Rien;NA;NA;NA;0,114;NA
F3;6;213;14;Rien;NA;NA;NA;0,0003472;NA
F3;6;213;15;Rien;NA;NA;NA;0,0003472;NA
F3;6;213;16;Rien;NA;NA;NA;0,004;NA
F3;6;213;19;Rien;NA;NA;NA;0,0006944;NA
F3;6;213;24;Rien;NA;NA;NA;0,0006944;NA
F3;6;213;25;Rien;NA;NA;NA;0,0003472;NA
F3;6;213;32;Rien;NA;NA;NA;0,0003472;NA
F3;6;213;33;Rien;NA;NA;NA;0,001;NA
F3;6;213;34;Rien;NA;NA;NA;0,0003472;NA
F3;6;213;35;Rien;NA;NA;NA;0,009;NA
F3;6;213;1;SC2;5;sepale;3;0,059;NA
F3;6;213;2;SC2;5;sepale;5;0,08;NA
F3;6;213;4;SC2;5;sepale;2;0,055;NA
F3;6;213;5;SC2;5;sepale;1;0,058;NA
F3;6;213;6;SC2;5;sepale;4;0,054;NA
F3;6;213;7;SC2;5;corolle;1;1,898;NA
F3;6;213;9;SC2;4;sepale;3;0,061;NA
F3;6;213;10;SC2;4;corolle;1;1,721;NA
F3;6;213;11;SC2;4;sepale;1;0,055;NA
F3;6;213;12;SC2;4;sepale;2;0,039;NA
F3;6;213;13;SC2;4;sepale;4;0,056;NA
F3;6;213;17;SC2;5;etamine;1;0,062;0,696
F3;6;213;18;SC2;5;etamine;4;0,085;0,763
F3;6;213;20;SC2;5;pistile;1;0,04;1,199
F3;6;213;21;SC2;5;etamine;3;0,08;0,723
F3;6;213;22;SC2;5;etamine;2;0,076;0,756
F3;6;213;23;SC2;5;etamine;5;0,078;0,779
F3;6;213;26;SC2;4;etamine;2;0,058;0,739
F3;6;213;27;SC2;4;etamine;3;0,064;0,704
F3;6;213;28;SC2;4;etamine;4;0,072;0,74
F3;6;213;29;SC2;4;etamine;5;0,072;0,694
F3;6;213;30;SC2;4;etamine;1;0,055;0,71
F3;6;213;31;SC2;4;pistile;1;0,04;1,175
F4;7;198;1;PIS14;9;sepale;4;0,09;NA
F4;7;198;2;PIS14;9;sepale;5;0,08;NA
F4;7;198;3;PIS14;9;sepale;2;0,069;NA
F4;7;198;4;PIS14;9;sepale;3;0,073;NA
F4;7;198;5;PIS14;9;sepale;1;0,07;NA
F4;7;198;6;PIS14;9;corolle;1;2,108;NA
F4;7;198;8;PIS14;9;etamine;4;0,083;0,64
F4;7;198;9;PIS14;9;pistile;1;0,041;0,977
F4;7;198;10;PIS14;9;etamine;1;0,072;0,669
F4;7;198;11;PIS14;9;etamine;2;0,065;0,594
F4;7;198;12;PIS14;9;etamine;5;0,078;0,939
F4;7;198;14;PIS14;9;etamine;3;0,057;0,824
F4;7;198;16;PIS14;10;corolle;1;2,312;NA
F4;7;198;17;PIS14;10;sepale;1;0,077;NA
F4;7;198;18;PIS14;10;sepale;5;0,08;NA
F4;7;198;19;PIS14;10;sepale;3;0,067;NA
F4;7;198;20;PIS14;10;sepale;4;0,06;NA
F4;7;198;21;PIS14;10;sepale;2;0,075;NA
F4;7;198;22;PIS14;10;etamine;2;0,081;0,761
F4;7;198;23;PIS14;10;pistile;1;0,034;0,978
F4;7;198;24;PIS14;10;etamine;1;0,072;0,671
F4;7;198;25;PIS14;10;etamine;3;0,076;0,752
F4;7;198;26;PIS14;10;etamine;4;0,082;0,749
F4;7;198;27;PIS14;10;etamine;5;0,086;0,722
F4;7;198;29;PIS14;11;sepale;5;0,091;NA
F4;7;198;30;PIS14;11;sepale;2;0,088;NA
F4;7;198;31;PIS14;11;sepale;4;0,083;NA
F4;7;198;32;PIS14;11;sepale;1;0,086;NA
F4;7;198;33;PIS14;11;sepale;3;0,08;NA
F4;7;198;34;PIS14;11;corolle;1;1,771;NA
F4;7;198;35;PIS14;11;pistile;1;0,044;0,947
F4;7;198;37;PIS14;11;etamine;5;0,074;0,713
F4;7;198;38;PIS14;11;etamine;1;0,072;0,609
F4;7;198;39;PIS14;11;etamine;4;0,073;0,718
F4;7;198;40;PIS14;11;etamine;2;0,063;0,683
F4;7;198;41;PIS14;11;etamine;3;0,076;0,623
F4;7;198;42;PIS14;12;sepale;5;0,078;NA
F4;7;198;43;PIS14;12;sepale;2;0,079;NA
F4;7;198;44;PIS14;12;sepale;3;0,087;NA
F4;7;198;45;PIS14;12;sepale;4;0,082;NA
F4;7;198;46;PIS14;12;sepale;1;0,058;NA
F4;7;198;47;PIS14;12;corolle;1;2,134;NA
F4;7;198;48;PIS14;12;etamine;1;0,081;0,703
F4;7;198;49;PIS14;12;etamine;2;0,084;0,725
F4;7;198;50;PIS14;12;etamine;5;0,072;0,737
F4;7;198;51;PIS14;12;etamine;3;0,081;0,686
F4;7;198;52;PIS14;12;pistile;1;0,035;0,727
F4;7;198;53;PIS14;12;etamine;4;0,076;0,66
F4;7;198;7;Rien;NA;NA;NA;0,001;NA
